Occupation,Views
AI product designer,1139827.0
Architect,1251638.5
Architect + ecotourism specialist,668555.0
Architect and urbanist,845619.0
"Architect, designer",1470106.0
"Architect, experience designer",404402.0
Architecture critic,722749.5
Bionics designer,7520736.0
Bow designer,2290464.0
"CEO, presentation designer",1152886.0
Car designer,867495.0
"Co-founder, Architecture for Humanity",811299.5
Community-minded architect,900115.0
Computational architect,863507.0
Designer,1273358.4411764706
Designer and theorist,382517.0
Designer at play,505714.0
"Designer, co-founder of Airbnb",2019969.0
"Designer, critic",1323235.0
"Designer, futurist",2759051.0
"Designer, illustrator, typographer",629753.0
"Designer, venturer",1396369.0
"Designer; creative director, Ideo",761930.0
"Director, designer",959460.0
Dune architect,666784.0
Fashion designer,1241145.5
"Futurist, designer",1259603.0
Game Designer,3956424.0
Game designer,704583.0
Graphic Designer,2033797.0
Graphic designer,1328507.5555555555
Green designer,1097901.0
Human-computer interface designer,4531020.0
Industrial Designer,132199.0
Industrial designer,1074081.0
Information designer,1077662.0
Instructional designer,953587.0
Interaction designer,1033475.0
Interaction designer; software developer,1479503.0
Interface designer,1514014.0
Landscape architect,316975.0
Lighting designer,562653.0
Multi-sense designer,1469884.0
Newspaper designer,1055886.0
Product designer,854226.0
Robotics designer,906262.0
Satellite designer,836011.0
Software architect,2634735.0
Sustainable designer,3351267.0
Toy designer,983914.5
Type designer,943703.0
Urban architect,1652993.0
Urban designer,834190.0
Urban planner,1152781.0
Video game designer,1156126.0
Voting system designer,543551.0
