Occupation,Views
Cancer physician and writer,1294952.0
Cellist; singer-songwriter,398713.0
Director and writer,733293.0
"Ecologist, writer",1285859.5
Food writer,3830672.0
Neuroscience PhD student + writer,890283.0
Psychiatrist and writer,648251.0
Science Historian + Writer,1370965.0
Science writer,1016911.4
"Science writer, innovation consultant, conservationist",1519694.0
Singer and songwriter,217851.0
"Singer, songwriter, actress",804359.0
Singer-songwriter,646506.0
Singer/songwriter,648132.8888888889
Writer,2967762.288888889
Writer and editor,1476377.0
Writer and producer,3148366.0
Writer and radio host,8444981.0
Writer and radio producer,1776779.0
"Writer, peace advocate",526794.0
"Writer, performer",1546530.0
"Writer, thinker",544047.0
"Writer, traveler",4811180.0
