Occupation,Views
Designer and storyteller,780039.0
"Designer, Storyteller",924318.0
Digital storyteller,2989437.0
Immersive storyteller,1151937.0
"Novelist, poet",702781.0
Photographer + storyteller,1000194.0
Poet,2539698.111111111
Poet and language advocate,1233104.0
Poet of code,869310.0
Poetry critic,1117996.0
"Programmer, storyteller and illustrator",1617536.0
"Publisher, philanthropist, poet",296294.0
Slam poet,676741.0
Storyteller,948473.0
Visual storyteller,907147.0
Writer and poet,764500.0
