Occupation,Views
Academic,1509188.0
"Academic, author",2603203.0
Anti-sexism educator,1625776.0
Assistant Professor,729428.0
"Astronomer, educator, skeptic",2283491.0
Author,1440569.5
Author and Activist,1471114.0
Author and advocate,936480.0
Author and journalist,1396735.0
Author and marketer,3813685.0
"Author, Zen priest",1451656.0
"Author, activist",967704.0
"Author, blogger, entrepreneur",3464767.0
"Author, designer",2094497.0
"Author, educator, activist",2235818.0
"Author, entrepreneur",2579809.5
"Author, futurist, innovator",1475291.0
"Author, historian",877106.0
"Author, journalist",1049847.0
"Author, producer",690977.0
"Author, publisher, education activist",1357888.0
"Author, satirist",473220.0
"Author, speaker, reformer",3047718.5
"Author, thinker",497449.0
Author/educator,15751570.25
Author/illustrator,1070019.0
"Broadcast personality, politician, author",799891.0
Business Educator,1495331.0
Business professor,2225283.0
"CEO, author",2785058.0
Chaplain + author,970703.0
Children's book author,1623955.0
Choreographer and educator,778810.0
Civics educator,1295838.0
Clinical professor of law,552732.0
"Corporate director, author",2735769.0
"Designer, educator",2043375.6666666667
Economist and professor,2269380.0
Educational psychology professor,2030203.0
Educator,1676925.65
Educator and activist,2460131.0
Educator and computing pioneer,777609.0
Educator and social entrepreneur,3405526.0
"Educator, author",1158432.0
Entrepreneur + educator,1301734.0
"Entrepreneur, author",438379.0
Global author,2387338.3333333335
"Illustrator, author",672254.0
"Investor, human guinea pig, author",2977635.0
"Journalist, author",1750573.0
Leadership educator,3119947.0
"Linguist, educator",1751030.0
Management professor,2009552.0
Marketer and author,2837184.0
Math educator,1610293.0
"Monk, author, photographer",4545194.5
Network author,1337967.0
Organizer and author,4039403.0
"Pastor, author",3095993.0
Physician and author,1390908.0
"Physician, author",1598126.3333333333
Poet and educator,2302181.0
"Poet, author",643011.0
"Poet, educator",2856400.5
"Policy entrepreneur, climate expert, author",1022042.0
Primate authority,2197377.0
Professor,652840.25
"Professor of Economics, University of Waterloo",5917201.0
Professor of international law,1429067.0
Professor of management,1404586.0
Professor of molecular and cell biology,1332162.0
Professor of music,117756.0
"Professor, author and social justice advocate",1008812.0
"Psychiatrist, neurologist, author",1028630.0
Punter and author,1194762.0
Sci-fi author,1908577.0
Science author,1757711.0
Sexuality educator,1836106.0
Speaker and author,2613400.0
"Strategy consultant, social entrepreneur and author",1392660.0
"Urban planner, designer, author",825412.0
"Venture capitalist, author",1623637.0
"Writer, blogger, author",1446267.0
"Writer, educator",1094389.0
YouTube educator,195899.0
