Occupation,Views
Activist for environmental justice,1200171.5
Climate advocate,1566975.3333333333
Climate economist,773801.0
Climate policy expert,1185114.0
Climate scholar,1158020.0
Environmental activist,833308.0
Environmental and literacy activist,1585575.0
Environmental economist,633715.0
Environmental policy influencer,1030762.0
Environmental writer,1174737.5
"Environmentalist, futurist",1012795.2
Forester and sustainability activist,877692.0
Ocean explorer and environmentalist,1215053.0
Primatologist; environmentalist,1109574.0
Sustainability crusader,1258539.0
Sustainability expert,924806.0
Sustainability strategist,1227480.0
