Occupation,Views
Citizen journalist,884313.0
Curious journalist,1527533.0
Data journalist,1993733.0
Finance journalist,429084.0
Global journalist,1591696.0
Investigative journalist,1512665.3333333333
Journalist,1450326.7575757576
Journalist and documentarian,1571741.0
"Journalist, news anchor",383080.0
"Journalist, runner",2434842.0
"Journalist, swimmer",2579788.0
Media exec,493966.0
Media executive,647752.0
Media maven,1152783.0
"Media mogul, TV host",1776828.0
Media studies scholar,1026017.0
Mediator,1828181.0
Photojournalist,952789.3333333334
Public health journalist,1532875.0
Science journalist,961766.0
Social Media Theorist,1250086.2
Social media analyst,2061368.0
"Surgeon, journalist",1654299.0
"TV journalist, women's empowerment advocate",890478.0
Undercover journalist,1421509.0
"Writer, columnist",2327025.0
