Occupation,Views
Acting and voice coach,176995.0
Civic thought leader,125050.0
Coach,4891781.0
"Counselor, coach and baker",1714168.0
"Historian, philosopher",418368.0
"Journalist, philosopher",663091.0
"Lawyer, coach",443773.0
Life coach; expert in leadership psychology,20685401.0
"Longevity coach, explorer",3157446.0
Moral philosopher,2991225.0
Motivational speaker,149818.0
Philosopher,2193775.375
Philosopher and writer,991359.0
"Philosopher, ethicist",1533054.0
Philosopher-comic,2049904.0
Political philosopher,1079617.0
Writer and philosopher,2890269.0
