Occupation,Views
Activist,1903025.8
"Activist, anthropologist, consultant",1452861.0
"Activist, singer-songwriter",484254.0
"Activist, volunteer firefighter",2178952.0
Activists,1219306.0
Airborne logistics activist,992489.0
Anti-corruption activist,1165610.5
Anti-extremism activist,703559.0
Anti-hunger activist,1173235.0
Anti-poverty activist,509747.0
Anti-slavery activist,857400.0
Anti-torture activist,532416.0
"Attorney, public-interest activist",925733.0
Blogger and activist,321896.0
Botanist and activist,368974.0
Building activist,317127.0
Business owner and activist,3095075.0
"Chef, activist",7638978.0
Children’s rights activist,1189513.0
Code activist,827607.0
"Colombian politician, urban activist",871452.0
Community activist,525446.0
Data activist,951340.0
Democracy activist,1213718.0
Education activist,1940561.25
Family activist,1612561.0
Gardening activist,191555.0
"Geneticist, indigenous rights activist",809398.0
Gun-control activist,1096198.0
Health activist,907047.0
Human rights advocate,1017789.0
Human rights attorney,1674355.0
Human-rights activist,1104834.0
Humanitarian design activist,943245.0
Inclusivity activist,2030154.0
Internet freedom activist,894417.0
Labor lawyer and activist,682353.0
Labor-rights activist,586814.0
Legal activist,1063179.8333333333
"Livestock handling designer, autism activist",4375111.0
Livestreaming activist,1278162.0
Model and activist,3133189.0
Moustache activist,714578.0
Peace activist,2163979.25
"Peace activist, Nobelist",1080869.0
"Physician, disaster-preparedness activist",657688.0
"Physicist, education activist",473165.0
Poet and activist,1004539.0
"Poet, performer, activist",1188177.0
Political mobilization activist,735649.0
"Politician, data activist",1619108.0
"Producer, activist",1025698.0
Refugee activist,1354522.0
Robotics activist,1203523.0
Sex worker and activist,1811102.0
Social Justice Activist,587181.0
Social activist,11443190.0
Social justice and green energy activist,462012.0
"Sociologist, human rights activist",857850.0
Space activist,788711.0
Storytelling activist,2226171.0
Survivor and activist,813426.0
Teen activist,917406.0
Tennis legend and activist,947562.0
Transgender activist,1172873.0
"Translator, plain language activist",291251.0
Transparency activist,824898.0
Vision activist,297107.0
Women’s rights activist,1492163.0
"Writer, activist",1493088.8333333333
"Writer, activist and legal analyst﻿",1258881.0
