Occupation,Views
Behavioral economics founder,3841631.0
Bioelectronics innovator﻿,1134472.0
Blogger,8084668.0
Blogger and fashion icon,1447603.0
"Blogger, digital visionary",694714.0
"Blogger; cofounder, Six Apart",518624.0
"CEO and co-founder, iRelaunch",1546664.0
"Cofounder, Incredible Edible",1206351.0
Corporate innovator,1041748.0
Education innovator,896101.3333333334
Film critic and blogger,1104345.0
"Founder and CEO, Callisto",1224191.0
"Founder and CEO, Future Today Institute",6298610.0
"Founder and CEO, Meta",1575381.0
"Founder and Executive Director, Earthspark International",208115.0
Founder of Wikipedia,1106561.0
Founder of the Beirut Marathon,5182832.0
"Founder, 4chan",1451649.0
"Founder, Doha Film Institute",642142.0
"Founder, GrameenPhone",503517.0
"Founder, Gravity",1297943.0
"Founder, Transparency International",741625.0
Health services innovator,979799.0
Healthcare innovator,288585.0
Optical innovator,751452.0
Social innovator,934073.0
Tech visionary,794381.8
Twitter co-founder,1134737.0
University founder,1216429.0
Website co-founders,2108409.0
