main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Ken Robinson,47227110,Liverpool,United Kingdom,Europe,19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924
Hans Rosling,12005869,Uppsala,Sweden,Europe,1390,942,3202,318,110,72,5433,4606,67,2542,3736,248,61,2893
Ross Lovegrove,1074081,Cardiff,United Kingdom,Europe,49,259,185,79,119,80,71,220,113,22,93,68,210,363
Aubrey de Grey,3277740,London,United Kingdom,Europe,215,65,297,350,215,206,536,812,309,1359,337,145,120,518
Bono,718649,Dublin,Ireland,Europe,26,68,22,104,41,12,80,51,30,145,39,24,33,294
Richard St. John,10841210,Limerick,Ireland,Europe,2966,576,638,457,27,43,1912,777,213,1433,251,685,57,4978
Martin Rees,2121177,York,United Kingdom,Europe,47,214,132,63,109,27,607,737,60,188,117,175,21,460
Jane Goodall,1663001,London,United Kingdom,Europe,36,441,35,289,70,28,387,432,30,285,107,63,27,944
Paul Bennett,761930,Leeds,United Kingdom,Europe,31,33,130,12,11,1,199,98,14,54,9,56,19,276
Nick Bostrom,762264,Helsingborg,Sweden,Europe,15,20,78,66,173,88,151,119,273,47,19,108,66,108
Frans Lanting,1697185,Rotterdam,Netherlands,Europe,18,1262,141,71,108,25,262,600,75,62,882,145,88,611
Eddi Reader,513672,Glasgow,United Kingdom,Europe,5,396,2,13,9,2,0,24,17,3,35,47,7,61
Eddi Reader,428351,Glasgow,United Kingdom,Europe,1,272,3,20,12,12,6,31,13,24,48,23,15,169
Chris Anderson,904520,City of Westminster,United Kingdom,Europe,11,8,33,8,39,19,334,100,17,51,15,85,12,55
Sergey Brin + Larry Page,1451846,Moscow,Russia,Europe,94,51,77,19,143,54,302,97,50,22,39,163,17,176
Hans Rosling,3243784,Uppsala,Sweden,Europe,1021,218,730,284,27,29,1544,1265,36,828,5137,74,21,1569
Theo Jansen,3982352,The Hague,Netherlands,Europe,214,631,1514,74,37,77,109,1289,67,30,2186,100,21,656
Richard Branson,1609555,London,United Kingdom,Europe,230,46,55,150,57,7,252,367,33,44,55,72,12,700
David Keith,876658,Glasgow,United Kingdom,Europe,30,14,184,262,57,43,680,300,129,1352,77,61,43,166
Philippe Starck,1783740,Paris,France,Europe,855,201,216,175,192,276,103,334,165,88,68,129,67,711
Paola Antonelli,585052,Sassari,Italy,Europe,9,59,29,12,68,27,138,82,43,41,7,83,20,111
Chris Anderson,324266,City of Westminster,United Kingdom,Europe,37,45,23,134,18,11,105,44,11,109,20,61,10,267
David Macaulay,700273,East Staffordshire,United Kingdom,Europe,92,210,109,11,124,46,71,120,27,13,44,96,16,102
Stephen Hawking,8655723,Oxford,United Kingdom,Europe,69,209,254,305,47,41,716,1070,86,199,304,141,48,775
Brian Cox,3074172,Dundee,United Kingdom,Europe,237,448,239,47,21,29,1276,1633,34,169,449,93,16,838
They Might Be Giants,362609,Cardiff,United Kingdom,Europe,143,23,59,13,32,35,3,31,19,0,16,64,81,21
Yves Behar,1109822,Lausanne,Switzerland,Europe,124,143,193,34,59,19,187,175,51,84,44,140,24,444
Susan Blackmore,735638,London,United Kingdom,Europe,48,45,253,136,89,118,405,652,313,248,197,121,68,186
Keith Barry,13327101,Waterford,Ireland,Europe,1819,208,803,206,79,273,137,2555,505,252,3715,336,161,267
David Griffin,1056435,High Peak,United Kingdom,Europe,120,500,26,40,26,4,189,408,15,73,126,84,19,487
Jane Goodall,556147,London,United Kingdom,Europe,18,161,16,98,20,11,143,81,14,152,36,42,10,381
David Perry,1084634,Ober-Mörlen,Germany,Europe,99,119,63,32,102,27,229,271,87,72,72,125,56,158
Paola Antonelli,313572,Sassari,Italy,Europe,32,54,62,13,48,18,106,145,34,23,17,69,21,91
Jackie Tabick,176245,Dublin,Ireland,Europe,0,28,3,7,30,7,11,8,20,21,2,14,13,45
Samantha Power,456095,London,United Kingdom,Europe,0,25,4,112,45,2,151,59,26,121,16,37,9,176
Eva Zeisel,438972,Budapest,Hungary,Europe,44,172,9,38,38,7,17,85,3,10,13,32,0,182
David Carson,774492,Rome,Italy,Europe,363,55,75,13,25,12,51,87,25,40,18,38,15,228
Tim Berners-Lee,1352069,London,United Kingdom,Europe,27,44,218,78,77,44,502,217,55,291,88,161,31,457
Sarah Jones,1607397,London,United Kingdom,Europe,511,206,182,55,45,10,17,158,12,16,132,47,20,139
Brian Cox,948459,Dundee,United Kingdom,Europe,20,32,31,19,9,4,427,153,9,47,33,70,7,129
Hans Rosling,904813,Uppsala,Sweden,Europe,68,20,115,36,7,21,491,247,9,258,96,42,8,147
Yves Behar,556657,Lausanne,Switzerland,Europe,30,28,44,3,6,8,34,26,53,6,16,93,12,35
Yann Arthus-Bertrand,751889,Paris,France,Europe,4,266,30,93,29,16,130,103,44,179,89,43,14,397
Richard St. John,3661633,Limerick,Ireland,Europe,307,101,90,177,12,14,315,128,59,346,20,240,15,1278
Daniel Libeskind,784642,Łódź,Poland,Europe,18,84,43,44,447,244,69,107,885,70,17,128,1361,262
Olafur Eliasson,522578,Copenhagen,Denmark,Europe,4,78,56,20,95,96,73,95,106,36,13,90,26,134
Alain de Botton,5790615,Zurich,Switzerland,Europe,1173,662,613,633,65,53,985,1393,70,1759,207,246,35,3458
Hans Rosling,1471039,Uppsala,Sweden,Europe,182,46,225,67,11,12,800,613,6,472,245,26,12,415
Natasha Tsakos,389813,Geneva,Switzerland,Europe,27,166,125,51,59,46,17,134,68,14,67,66,118,175
Steve Truglia,571893,London,United Kingdom,Europe,23,7,19,230,25,6,76,96,19,10,43,67,17,49
Lewis Pugh,689476,Plymouth,United Kingdom,Europe,17,36,8,342,14,0,33,91,22,50,208,17,25,328
Misha Glenny,891314,City of Westminster,United Kingdom,Europe,39,4,15,171,42,20,564,281,39,212,127,78,15,37
Bjarke Ingels,2129938,Copenhagen,Denmark,Europe,269,430,629,82,12,7,144,540,13,80,365,32,18,816
Oliver Sacks,4233352,London,United Kingdom,Europe,175,344,182,118,190,26,2032,2562,26,160,246,175,15,465
Imogen Heap,883282,London,United Kingdom,Europe,5,560,19,25,8,8,1,49,22,10,54,104,19,149
Evgeny Morozov,430276,Salihorsk,Belarus,Europe,15,0,19,48,28,31,163,55,115,114,14,62,17,30
Marc Koska,629018,Bournemouth,United Kingdom,Europe,0,27,493,59,2,4,297,55,28,177,103,26,5,172
Marcus du Sautoy,1010292,London,United Kingdom,Europe,34,116,130,3,76,65,262,322,31,39,32,97,12,116
Hans Rosling,1738069,Uppsala,Sweden,Europe,651,100,296,86,7,7,724,773,45,384,298,59,16,480
Shashi Tharoor,1437808,London,United Kingdom,Europe,102,278,163,166,31,6,591,743,27,464,374,82,21,1148
Rory  Bremner,1112000,City of Edinburgh,United Kingdom,Europe,517,15,28,14,57,29,26,25,60,11,19,129,48,6
Steven  Cowley,706235,Cambridge,United Kingdom,Europe,14,12,69,31,6,2,323,179,49,158,28,51,12,119
Bertrand Piccard,778978,Lausanne,Switzerland,Europe,10,59,83,186,43,10,64,184,21,146,53,53,23,604
Nick Veasey,1780196,City of Westminster,United Kingdom,Europe,63,309,113,19,58,8,97,249,26,6,55,107,35,84
Jamie Heywood,528451,London,United Kingdom,Europe,2,29,199,87,4,13,108,97,8,69,58,8,6,228
Peter Eigen,741625,Augsburg,Germany,Europe,5,21,21,494,56,9,387,77,23,293,96,65,9,349
Jamie Oliver,7638978,Uttlesford,United Kingdom,Europe,359,470,297,1547,99,69,2606,844,113,3316,1413,249,109,4779
David Cameron,656762,London,United Kingdom,Europe,15,21,39,69,56,28,233,88,241,272,25,109,60,286
Tim Berners-Lee,680486,London,United Kingdom,Europe,4,31,87,19,7,14,219,171,9,144,89,29,11,278
Gary Vaynerchuk,757791,Babruysk,Belarus,Europe,464,35,44,155,91,55,172,88,152,316,85,114,430,758
Mark Roth,708408,Daugavpils,Latvia,Europe,18,9,300,52,27,6,165,399,16,69,517,17,10,126
Douglas Adams,473220,Cambridge,United Kingdom,Europe,663,77,98,16,20,0,290,293,0,96,62,11,4,262
Stephen Wolfram,1542898,London,United Kingdom,Europe,14,91,596,94,68,129,334,781,96,101,476,73,74,403
Esther Duflo,876307,Paris,France,Europe,3,21,119,60,9,11,369,181,25,444,42,45,0,363
Simon Sinek,34309432,London,United Kingdom,Europe,390,1640,3413,1161,390,112,6600,7440,930,8845,2659,1341,294,21564
Thomas Dolby,577356,London,United Kingdom,Europe,9,177,13,7,9,8,3,21,26,5,17,80,22,48
Enric Sala,316507,Girona,Spain,Europe,6,33,20,17,13,5,168,86,8,195,46,16,6,138
Viktor Frankl,1028630,Vienna,Austria,Europe,264,346,182,178,8,13,253,303,12,455,124,59,13,1673
William Li,4149065,Manchester,United Kingdom,Europe,29,119,653,260,20,35,2364,1576,69,1771,968,170,27,1712
Graham Hill,2108816,London,United Kingdom,Europe,138,47,242,109,30,18,455,115,204,975,29,438,88,780
Ken Robinson,7266316,Liverpool,United Kingdom,Europe,3000,1248,1116,885,71,34,1237,2199,83,2876,865,208,38,7631
Sophie Hunger,518461,Bern,Switzerland,Europe,4,206,9,9,15,4,1,50,13,4,57,37,19,70
Brian Cox,1616851,Dundee,United Kingdom,Europe,16,509,34,42,30,14,240,436,34,294,121,69,15,833
Aditi Shankardass,957087,London,United Kingdom,Europe,2,65,224,69,12,10,551,366,48,309,456,46,10,445
Benoit Mandelbrot,1212079,Warsaw,Poland,Europe,66,319,225,7,69,107,241,482,16,45,88,84,2,220
Hans Rosling,2934262,Uppsala,Sweden,Europe,187,111,339,74,18,30,1167,766,88,866,156,134,22,679
Elif Shafak,1763449,Strasbourg,France,Europe,77,1293,194,496,80,28,336,980,73,437,204,192,32,2251
John Delaney,332099,Waterford,Ireland,Europe,0,31,60,8,58,10,116,121,18,28,71,40,18,80
Lewis Pugh,1029186,Plymouth,United Kingdom,Europe,11,70,20,413,11,2,71,146,41,170,128,61,42,536
Carne Ross,343532,London,United Kingdom,Europe,5,7,31,163,40,12,103,95,17,81,23,18,17,210
Chris Anderson,1306536,City of Westminster,United Kingdom,Europe,14,174,146,96,41,13,309,381,24,431,149,88,8,1193
Jessa Gamble,2244295,Oxford,United Kingdom,Europe,11,24,29,11,30,117,907,395,329,156,25,607,21,133
Christien Meindertsma,1157394,Utrecht,Netherlands,Europe,128,44,77,20,13,14,605,367,7,37,86,69,8,59
Annie Lennox,484254,Aberdeen City,United Kingdom,Europe,3,43,0,96,11,3,60,12,17,56,25,36,10,191
Tim Birkhead,112321,Leeds,United Kingdom,Europe,144,46,19,6,17,6,165,141,3,15,13,31,1,50
Tim Jackson,899942,City of Westminster,United Kingdom,Europe,10,49,81,191,79,42,385,186,135,440,72,77,32,631
Hans Rosling,738895,Uppsala,Sweden,Europe,167,42,116,75,7,8,554,330,17,535,135,32,4,471
Peter Haas,317127,Erlangen,Germany,Europe,0,6,39,25,13,1,229,26,4,123,13,58,6,80
Andrew Bird,1231423,City of Westminster,United Kingdom,Europe,18,541,187,34,31,13,5,212,26,4,148,63,15,261
Stefan Wolff,307628,Hamburg,Germany,Europe,0,3,1,11,75,11,90,10,53,36,2,42,13,41
Conrad Wolfram,1499219,Oxford,United Kingdom,Europe,55,49,296,160,96,27,522,270,127,828,69,147,32,715
John Hardy,960523,London,United Kingdom,Europe,11,399,218,156,11,11,100,262,49,91,98,47,27,722
Marcel Dicke,1393541,Dordrecht,Netherlands,Europe,111,19,70,70,16,15,279,164,37,342,83,59,28,123
Halla Tómasdóttir,588691,Reykjavik,Iceland,Europe,55,72,48,205,10,12,132,79,56,262,44,34,27,447
Ken Robinson,1854997,Liverpool,United Kingdom,Europe,574,280,893,330,22,27,1460,1364,41,1452,634,118,34,1803
Arianna Huffington,4241096,Athens,Greece,Europe,1103,147,163,216,57,76,374,126,527,560,47,540,304,666
Madeleine Albright,729867,Prague,Czech Republic,Europe,215,68,22,175,12,4,121,126,15,137,38,28,32,507
Noreena Hertz,880598,London,United Kingdom,Europe,3,45,47,211,179,30,325,109,273,356,27,138,100,282
Hans Rosling,2391977,Uppsala,Sweden,Europe,869,195,457,122,21,25,692,506,26,750,124,84,19,826
Sebastian Thrun,2442977,Solingen,Germany,Europe,15,50,368,62,11,12,248,367,53,203,351,131,15,381
Jackson Browne,656851,Heidelberg,Germany,Europe,4,131,10,16,7,2,16,16,13,42,10,61,15,130
Marcin Jakubowski,1479352,Poznań,Poland,Europe,12,65,1086,250,6,3,338,411,12,323,353,41,2,1152
Carlo Ratti,657251,Turin,Italy,Europe,12,133,235,9,27,28,104,234,57,18,82,67,21,164
Thomas Heatherwick,1586547,London,United Kingdom,Europe,54,548,557,64,15,8,92,445,6,43,290,33,3,597
Malcolm McLaren,251313,London,United Kingdom,Europe,43,25,35,62,106,25,51,80,51,61,29,36,57,164
Daniel Tammet,1751030,London,United Kingdom,Europe,6,261,149,96,67,80,402,807,152,74,90,207,28,399
Rajesh Rao,1190085,London,United Kingdom,Europe,10,44,227,29,17,5,518,641,19,93,72,40,4,190
Maajid Nawaz,703559,Southend-on-Sea,United Kingdom,Europe,5,21,57,208,21,25,266,135,42,281,33,42,8,253
