name,lat,lng
Bertrand Piccard,46.5218269,6.6327025
Nick Veasey,51.5074456,-0.1277653
Dan Buettner,44.9497487,-93.0931028
Romulus Whitaker,40.7127281,-74.0060152
Herbie Hancock,41.8755616,-87.6244212
Randy Pausch,39.2908816,-76.610759
Robert Sapolsky,40.6526006,-73.9497211
Edwidge Danticat,18.547327,-72.3395928
Charles Fleischer,38.8950368,-77.0365427
David Blaine,40.7127281,-74.0060152
Anthony Atala,-6.8699697,-75.0458515
Sivamani,13.0836939,80.270186
Richard Dawkins,-1.3026148499999999,36.82884201813725
Taylor Mali,40.7127281,-74.0060152
Eve Ensler,40.7127281,-74.0060152
Derek Sivers,39.7837304,-100.445882
Sendhil Mullainathan,10.9094334,78.3665347
Peter Eigen,48.3668041,10.8986971
Jamie Oliver,51.9727613,0.13975240621621382
Blaise Agüera y Arcas,41.8239891,-71.4128343
David Cameron,51.5232789,-0.155596
Aimee Mullins,40.6022059,-75.4712794
Bill Gates,47.6038321,-122.330062
Kevin Kelly,44.8322405,-93.3204872
Philip K. Howard,33.7489924,-84.3902644
Eric Topol,40.7135078,-73.8283132
Temple Grandin,42.3554334,-71.060511
Bobby McFerrin,40.7127281,-74.0060152
Daniel Kahneman,32.0852997,34.7818064
Harsha Bhogle,17.360589,78.4740613
Richard Feynman,40.7127281,-74.0060152
James Cameron,49.416667,-82.433333
Tim Berners-Lee,51.4893335,-0.14405508452768728
Dan Barber,40.7127281,-74.0060152
Gary Vaynerchuk,53.1449683,29.2281209
Mark Roth,55.8712267,26.5159337
Douglas Adams,52.2055314,0.1186637
Jane McGonigal,39.9527237,-75.1635262
Sam Harris,34.0536909,-118.242766
Alan Siegel,41.8755616,-87.6244212
Joel Levine,40.6526006,-73.9497211
Shukla Bose,27.0377554,88.263176
Adora Svitak,44.0462362,-123.0220289
Elizabeth Pisani,39.7837304,-100.445882
Dean Kamen,40.6574186,-73.6450664
Dennis Hong,34.0536909,-118.242766
Natalie Merchant,42.0965167,-79.2380322
Michael Specter,39.7837304,-100.445882
Jonathan Klein,-26.205,28.049722
Catherine Mohr,-45.8740984,170.5035755
Thelma Golden,40.7135078,-73.8283132
Eric Whitacre,39.5261206,-119.8126581
Edith Widder,42.4153739,-71.1564428
James Randi,43.6534817,-79.3839347
Tom Wujec,49.8955367,-97.1384584
Kavita Ramdas,28.6273928,77.1716954
Stephen Wolfram,51.4893335,-0.14405508452768728
Roz Savage,53.2141028,-2.471770086071205
Esther Duflo,48.8588897,2.3200410217200766
Simon Sinek,51.4220721,-0.2052902
Jeremy Jackson,33.6170092,-117.9294401
Thomas Dolby,51.4893335,-0.14405508452768728
Nathan Myhrvold,47.6038321,-122.330062
Enric Sala,41.9793006,2.8199439
Dan Meyer,43.2560802,-79.8728583
Julia Sweeney,47.6571934,-117.42351
Viktor Frankl,48.2083537,16.3725042
William Li,53.4794892,-2.2451148
Graham Hill,51.5565973,-0.1784251
Richard Sears,42.3554334,-71.060511
Craig Venter,40.7596198,-111.886797
Ken Robinson,53.4071991,-2.99168
Sharmeen Obaid-Chinoy,24.8546842,67.0207055
Seth Berkley,40.7127281,-74.0060152
Sophie Hunger,46.9484742,7.4521749
Lawrence Lessig,44.0806041,-103.228023
Brian Skerry,42.1413353,-71.5192019
Brian Cox,56.4605938,-2.97019
Michael Sandel,44.9772995,-93.2654692
Rory Sutherland,-35.2975906,149.1012676
David Byrne,55.9432443,-4.5708479
Michael Shermer,34.0536909,-118.242766
Ananda Shankar Jayant,8.7284271,77.7112925
Chip Conley,33.7500378,-117.8704931
Marian Bantjes,61.0666922,-107.991707
Aditi Shankardass,51.4893335,-0.14405508452768728
Clay Shirky,38.951883,-92.3337366
Mitchell Joachim,40.0757384,-74.4041622
Benoit Mandelbrot,52.2337172,21.071432235636493
Hans Rosling,59.8586126,17.6387436
Carl Safina,40.6526006,-73.9497211
Matt Ridley,55.25,-2.000559
Julian Assange,-19.2569391,146.8239537
Dimitar Sasselov,42.6607865,27.7167464
Tan Le,5.8098265,100.6715035
Sheena Iyengar,43.6534817,-79.3839347
Susan Shaw,22.3150313,114.17205092613689
Jeff Bezos,35.0841034,-106.650985
John Delaney,52.2609997,-7.1119081
Lewis Pugh,50.3714122,-4.1424451
Sheryl WuDunn,40.7127281,-74.0060152
Peter Molyneux,51.2356068,-0.5732063
Maz Jobrani,35.6892523,51.3896004
Jeremy Rifkin,39.7392364,-104.984862
Sugata Mitra,22.5726459,88.3638953
Alwar Balasubramaniam,10.9094334,78.3665347
Ben Cameron,39.7683331,-86.1583502
Seth Godin,38.3172715,-88.9031201
Chris Anderson,51.5074456,-0.1277653
Jessa Gamble,51.7520131,-1.2578499
Caroline Phillips,36.7014631,-118.755997
Christien Meindertsma,52.0907006,5.1215634
Steven Johnson,54.0813547,-0.1952885
Annie Lennox,57.1482429,-2.0928095
Tim Birkhead,53.7974185,-1.5437941
Mechai Viravaidya,13.7456236,100.5342199
Tim Jackson,51.5074456,-0.1277653
Stefano Mancuso,38.82996034999999,16.43155687627833
Melinda Gates,32.7762719,-96.7968559
Peter Haas,49.5928616,11.0056
Natalie Jeremijenko,-21.141956,149.1865149
Ze Frank,42.704522,-73.911513
Joel Burns,32.753177,-97.3327459
Patrick Chappatte,24.8546842,67.0207055
Joseph Nye,40.7474966,-74.2635376
Greg Stone,-31.9558933,115.8605855
Andrew Bird,51.5074456,-0.1277653
Stefan Wolff,53.5672881,9.941726150411604
Aaron Huey,44.0168463,-107.9557722
Conrad Wolfram,51.7520131,-1.2578499
Denis Dutton,34.0536909,-118.242766
Shimon Schocken,32.0852997,34.7818064
John Hardy,51.4893335,-0.14405508452768728
Zainab Salbi,33.3061701,44.3872213
Marcel Dicke,51.7689546,4.686789054617023
Halla Tómasdóttir,64.145981,-21.9422367
Tony Porter,51.791042000000004,-0.7379739854728844
Kiran Bedi,30.7037946,75.7800988
Hanna Rosin,30.8124247,34.8594762
Majora Carter,40.7127281,-74.0060152
Brené Brown,29.4246002,-98.4951405
Barry Schwartz,39.9527237,-75.1635262
Arianna Huffington,37.9755648,23.7348324
Lesley Hazleton,51.4564242,-0.9700664
Neil Pasricha,43.8975558,-78.8635324
Jody Williams,-33.928992,18.417396
Amber Case,45.5202471,-122.674194
Thomas Thwaites,-27.9885617,152.9961186
Naomi Klein,45.5031824,-73.5698065
Van Jones,35.6144446,-88.8177418
Heather Knight,53.6153659,-2.1557561
Martin Jacques,45.5485795,-75.2915629
Thomas Goetz,48.7999036,9.7977584
Liza Donnelly,38.8950368,-77.0365427
Ariel Garten,43.6534817,-79.3839347
Bruce Feiler,32.0790074,-81.0921335
Suheir Hammad,31.9515694,35.9239625
Cynthia Breazeal,35.0841034,-106.650985
Geert Chatrou,51.1430524,6.0014301
Krista Tippett,39.7837304,-100.445882
Jacqueline Novogratz,49.1009451,1.9672466
Lisa Gansky,39.7837304,-100.445882
Madeleine Albright,50.0874654,14.4212535
Noreena Hertz,51.5871881,-0.1648137
Wadah Khanfar,32.3561008,35.1709493
JR,35.1319,128.7103
Wael Ghonim,30.0443879,31.2357257
Courtney E. Martin,38.8339578,-104.825348
Sal Khan,29.9899926,-90.1505426
Deb Roy,49.8955367,-97.1384584
David Brooks,43.6534817,-79.3839347
Janna Levin,31.2638905,-98.5456116
Rogier van der Heide,52.322419,4.5937366
Sarah Kay,40.7127281,-74.0060152
Isabel Behncke,-33.4377756,-70.6504502
Paul Root Wolpe,32.7884363,-79.9399309
Claron McFadden,40.7127281,-74.0060152
Sebastian Thrun,51.1721629,7.0845893
Morgan Spurlock,39.2667309,-81.5620755
Caroline Casey,-37.8142454,144.9631732
Jackson Browne,49.4093582,8.694724
David Christian,26.1223084,-80.1433786
Roger Ebert,40.1117174,-88.207301
