name,lat,lng,city,country,meanviews,numtalks
 OK Go,32.7459645,-96.9977846,Grand Prairie,United States,1493866,1
 Silk Road Ensemble,48.8588897,2.3200410217200766,Paris,France,640734,1
 Sofi Tukker,-24.3088036,-54.748267074688144,Katueté,Paraguay,815611,1
AJ Jacobs,40.7127281,-74.0060152,New York,United States,1622792,3
Aakash Odedra,52.4796992,-1.9026911,Birmingham,United Kingdom,817014,1
Aaron Koblin,34.0194704,-118.491227,Santa Monica,United States,1474192,1
Aaron O'Connell,39.7589478,-84.1916069,Dayton,United States,1272198,1
Abha Dawesar,28.6138954,77.2090057,New Delhi,India,1245695,1
Abigail Washburn,42.0470043,-87.6846053,Evanston,United States,981351,1
Abraham Verghese,9.0358287,38.7524127,Addis Ababa,Ethiopia,1390908,1
Adam Davidson,34.0536909,-118.242766,Los Angeles,United States,783528,1
Adam Driver,32.7174202,-117.1627728,San Diego,United States,3016666,1
Adam Savage,40.7127281,-74.0060152,New York,United States,1435186,3
Adam Spencer,-33.8698439,151.2082848,Sydney,Australia,2014461,1
Aditi Shankardass,51.4893335,-0.1440550845276872,London,United Kingdom,957087,1
Adora Svitak,44.0462362,-123.0220289,Springfield,United States,4782854,1
Ahn Trio,32.7762719,-96.7968559,Dallas,United States,746852,1
Aimee Mullins,40.6022059,-75.4712794,Allentown,United States,2179948,3
Al Gore,38.8950368,-77.0365427,Washington D.C,United States,1837906,4
Al Seckel,40.7127281,-74.0060152,New York,United States,2138907,1
Alaa Murabit,52.131802,-106.660767,Saskatoon,Canada,2312512,1
Alain de Botton,47.3744489,8.5410422,Zurich,Switzerland,3996817,2
Alan Kay,42.1018764,-72.5886727,Springfield,United States,777609,1
Alan Siegel,41.8755616,-87.6244212,Chicago,United States,876649,1
Alan Smith,52.4796992,-1.9026911,Birmingham,United Kingdom,1369939,1
Alberto Cairo,43.3709703,-8.3959425,A Coruña,Spain,802688,1
Alejandro Aravena,-33.4377756,-70.6504502,Santiago,Chile,1652993,1
