main_speaker,views,speaker_occupation,cluster
Ken Robinson,47227110,Author/educator,Education and Academia
Al Gore,3200520,Climate advocate,Environment and Sustainability
David Pogue,1636292,Technology columnist,Science and Technology
Majora Carter,1697550,Activist for environmental justice,Environment and Sustainability
Hans Rosling,12005869,Global health expert; data visionary,Health and Medicine
Tony Robbins,20685401,Life coach; expert in leadership psychology,Philosophy and Thought Leadership
Julia Sweeney,3769987,"Actor, comedian, playwright",Arts and Entertainment
Joshua Prince-Ramus,967741,Architect,Architecture and Design
Dan Dennett,2567958,"Philosopher, cognitive scientist",Science and Technology
Rick Warren,3095993,"Pastor, author",Education and Academia
Cameron Sinclair,1211416,"Co-founder, Architecture for Humanity",Architecture and Design
Jehane Noujaim,387877,Filmmaker,Arts and Entertainment
Larry Brilliant,693341,"Epidemiologist, philanthropist",Philanthropy and Social Change
Jeff Han,4531020,Human-computer interface designer,Architecture and Design
Nicholas Negroponte,358304,Tech visionary,Technology Visionaries and Innovators
Sirena Huang,2702470,Violinist,Performing Arts and Music
Jennifer Lin,1628912,"Pianist, composer",Performing Arts and Music
Amy Smith,1415724,"inventor, engineer",Science and Technology
Ross Lovegrove,1074081,Industrial designer,Architecture and Design
Jimmy Wales,1106561,Founder of Wikipedia,Technology Visionaries and Innovators
Richard Baraniuk,966439,Education visionary,Philanthropy and Social Change
Ze Frank,6141440,"Humorist, web artist",Arts and Entertainment
Mena Trott,518624,"Blogger; cofounder, Six Apart",Technology Visionaries and Innovators
Helen Fisher,9260764,"Anthropologist, expert on love",Anthropology and Sociology
Eve Ensler,1131864,"Playwright, activist",Arts and Entertainment
David Deutsch,1096862,Quantum physicist,Physical and Earth Sciences
Richard Dawkins,2885999,Evolutionary biologist,Physical and Earth Sciences
Steven Levitt,2863214,Economist,Business and Economics
Malcolm Gladwell,7023562,Writer,Creative Writing and Digital Content
Dan Gilbert,14689301,Psychologist; happiness expert,Health and Medicine
Barry Schwartz,10000702,Psychologist,Health and Medicine
Eva Vertes,1030267,Neuroscience and cancer researcher,Health and Medicine
Iqbal Quadir,503517,"Founder, GrameenPhone",Technology Visionaries and Innovators
Burt Rutan,2028451,Aircraft engineer,Science and Technology
Bono,718649,"Musician, activist",Arts and Entertainment
Robert Fischell,382996,Biomedical inventor,Science and Technology
Peter Donnelly,1053758,Mathematician; statistician,Science and Technology
Ray Kurzweil,2434344,"Inventor, futurist",Science and Technology
Kevin Kelly,1536873,Digital visionary,Science and Technology
Peter Gabriel,904215,"Musician, activist",Arts and Entertainment
Rives,1813665,"Performance poet, multimedia artist",Arts and Entertainment
Dean Ornish,2299265,"Physician, author",Education and Academia
Robert Neuwirth,673036,Author,Education and Academia
Wade Davis,2532851,"Anthropologist, ethnobotanist",Anthropology and Sociology
Martin Rees,2121177,Astrophysicist,Physical and Earth Sciences
Robert Wright,1090180,"Journalist, philosopher",Philosophy and Thought Leadership
Steven Johnson,684519,Writer,Creative Writing and Digital Content
Anna Deavere Smith,978825,"Actor, playwright, social critic",Arts and Entertainment
Saul Griffith,442553,Inventor,Science and Technology
Neil Gershenfeld,691814,"Physicist, personal fab pioneer",Physical and Earth Sciences
Carl Honoré,2441805,Journalist,Media and Journalism
Bill Clinton,849859,Activist,Social Activism and Human Rights
E.O. Wilson,1335732,Biologist,Physical and Earth Sciences
James Nachtwey,1262674,Photojournalist,Media and Journalism
Jane Goodall,1663001,Primatologist; environmentalist,Environment and Sustainability
Seth Godin,5570544,Marketer and author,Education and Academia
James Watson,1520908,"Biologist, Nobel laureate",Physical and Earth Sciences
Dean Kamen,680134,Inventor,Science and Technology
Stefan Sagmeister,1762302,Graphic designer,Architecture and Design
Thom Mayne,660909,Architect,Architecture and Design
Chris Bangle,867495,Car designer,Architecture and Design
Nora York,395769,"Singer, performance artist",Arts and Entertainment
Paul Bennett,761930,"Designer; creative director, Ideo",Architecture and Design
Vik Muniz,1149090,Artist,Arts and Entertainment
Nick Bostrom,762264,Philosopher,Philosophy and Thought Leadership
Janine Benyus,1920434,"Science writer, innovation consultant, conservationist",Creative Writing and Digital Content
Craig Venter,560904,"Biologist, genetics pioneer",Physical and Earth Sciences
Golan Levin,606311,Experimental audio-visual artist,Arts and Entertainment
Susan Savage-Rumbaugh,2197377,Primate authority,Education and Academia
Sheila Patek,1115081,"Biologist, biomechanics researcher",Health and Medicine
Jill Sobule,591379,Singer/songwriter,Creative Writing and Digital Content
Caroline Lavelle,398713,Cellist; singer-songwriter,Creative Writing and Digital Content
Dan Dennett,2676717,"Philosopher, cognitive scientist",Science and Technology
Evelyn Glennie,4165572,Musician,Arts and Entertainment
William McDonough,1426390,Architect,Architecture and Design
Rives,643078,"Performance poet, multimedia artist",Arts and Entertainment
Eddi Reader,513672,Singer/songwriter,Creative Writing and Digital Content
Eddi Reader,428351,Singer/songwriter,Creative Writing and Digital Content
Richard Dawkins,4374792,Evolutionary biologist,Physical and Earth Sciences
Rachelle Garniez,443180,Musician,Arts and Entertainment
Chris Anderson,904520,Drone maker,Science and Technology
Sergey Brin + Larry Page,1451846,"Computer scientist, entrepreneur and philanthropist",Science and Technology
Stew,577502,Singer/songwriter,Creative Writing and Digital Content
David Kelley,779873,"Designer, educator",Education and Academia
Stewart Brand,940913,"Environmentalist, futurist",Environment and Sustainability
Jeff Hawkins,1371482,"Computer designer, brain researcher",Health and Medicine
Tierney Thys,870412,Marine biologist,Physical and Earth Sciences
Blaise Agüera y Arcas,4772595,Software architect,Architecture and Design
Ngozi Okonjo-Iweala,1044185,Economist,Business and Economics
Anand Agarawala,1479503,Interaction designer; software developer,Architecture and Design
David Rockwell,404402,"Architect, experience designer",Architecture and Design
Hans Rosling,3243784,Global health expert; data visionary,Health and Medicine
Bill Stone,1801117,"Explorer, inventor and outer space dreamer",Science and Technology
Dan Dennett,1596067,"Philosopher, cognitive scientist",Science and Technology
Alan Russell,1427723,Medical futurist,Health and Medicine
Jonathan Harris,1049727,"Artist, storyteller, Internet anthropologist",Arts and Entertainment
Emily Oster,854967,Assumption-busting economist,Business and Economics
Will Wright,1107307,Game designer,Architecture and Design
Rives,3387765,"Performance poet, multimedia artist",Arts and Entertainment
David Bolinsky,1788182,Medical animator,Health and Medicine
George Ayittey,648234,Economist,Business and Economics
Ngozi Okonjo-Iweala,524049,Economist,Business and Economics
William Kamkwamba,1543596,Inventor,Science and Technology
Patrick Awuah,1216429,University founder,Technology Visionaries and Innovators
Chris Abani,561703,"Novelist, poet",Creative Writing and Storytelling
Vusi Mahlasela,531957,"Musician, activist",Arts and Entertainment
Vusi Mahlasela,416603,"Musician, activist",Arts and Entertainment
Dean Kamen,1575699,Inventor,Science and Technology
Andrew Mwenda,722877,Journalist,Media and Journalism
Theo Jansen,3982352,Artist,Arts and Entertainment
Steven Pinker,1914263,Psychologist,Health and Medicine
Steven Pinker,2063367,Psychologist,Health and Medicine
Deborah Scranton,507997,Filmmaker,Arts and Entertainment
Zeresenay Alemseged,913666,Paleoanthropologist,Anthropology and Sociology
John Maeda,1215947,Artist,Arts and Entertainment
Paul MacCready,736290,Engineer,Science and Technology
Carolyn Porco,2627709,Planetary scientist,Science and Technology
Richard Branson,1609555,Entrepreneur,Business and Economics
Maira Kalman,672254,"Illustrator, author",Education and Academia
Jan Chipchase,694378,User anthropologist,Anthropology and Sociology
VS Ramachandran,3930186,Brain expert,Science and Technology
Eleni Gabre-Madhin,562457,Economist,Business and Economics
Sherwin Nuland,1522858,Doctor,Health and Medicine
Matthieu Ricard,7271730,"Monk, author, photographer",Education and Academia
Lawrence Lessig,1895259,Legal activist,Social Activism and Human Rights
Paul Rothemund,410563,DNA origamist,Science and Technology
David Keith,876658,Environmental scientist,Science and Technology
Larry Brilliant,418234,"Epidemiologist, philanthropist",Philanthropy and Social Change
Robert Full,707524,Biologist,Physical and Earth Sciences
Ron Eglash,1527858,Mathematician,Science and Technology
Philippe Starck,1783740,Designer,Architecture and Design
Murray Gell-Mann,1181696,Physicist,Physical and Earth Sciences
Amory Lovins,832668,"Physicist, energy guru",Physical and Earth Sciences
Arthur Benjamin,8360707,Mathemagician,Science and Technology
Daniel Goleman,1604402,Psychologist,Health and Medicine
Lakshmi Pratury,533761,Connector,Science and Technology
Gever Tulley,4364865,Tinkerer,Science and Technology
Deborah Gordon,928270,Ecologist,Science and Technology
J.J. Abrams,3519656,Filmmaker,Arts and Entertainment
David Gallo,13926113,Oceanographer,Science and Technology
Frank Gehry,959382,Architect,Architecture and Design
Bill Strickland,611092,Social innovator,Technology Visionaries and Innovators
David Pogue,594523,Technology columnist,Science and Technology
Alison Jackson,670863,Artist,Arts and Entertainment
Michael Pollan,1359400,Environmental writer,Environment and Sustainability
Moshe Safdie,545664,Architect,Architecture and Design
Jill Sobule + Julia Sweeney,487972,Singer/songwriter,Creative Writing and Digital Content
Roy Gould + Curtis Wong,1034064,Researcher,Health and Medicine
Alan Kay,777609,Educator and computing pioneer,Education and Academia
Craig Venter,1004893,"Biologist, genetics pioneer",Physical and Earth Sciences
Nicholas Negroponte,974087,Tech visionary,Technology Visionaries and Innovators
Frank Gehry,620806,Architect,Architecture and Design
Dave Eggers,1357888,"Author, publisher, education activist",Education and Academia
Karen Armstrong,1277619,Religious scholar,Spiritual and Religious Leadership
Neil Turok,473165,"Physicist, education activist",Social Activism and Human Rights
Norman Foster,763815,Architect,Architecture and Design
Christopher deCharms,1485761,Brain researcher,Health and Medicine
Clifford Stoll,2283491,"Astronomer, educator, skeptic",Education and Academia
Rokia Traore,294936,Singer-songwriter,Creative Writing and Digital Content
David Hoffman,311741,Filmmaker,Arts and Entertainment
Jakob Trollback,480377,Designer,Architecture and Design
Stephen Hawking,8655723,Theoretical physicist,Physical and Earth Sciences
Al Gore,1751426,Climate advocate,Environment and Sustainability
Johnny Lee,5483940,Human-computer interaction researcher,Health and Medicine
Tod Machover + Dan Ellsey,497153,"Composer, inventor",Science and Technology
Brian Greene,4119616,Physicist,Physical and Earth Sciences
Paul Ewald,442623,Evolutionary biologist,Physical and Earth Sciences
Mark Bittman,3830672,Food writer,Creative Writing and Digital Content
Robert Ballard,1281570,Oceanographer,Science and Technology
Yves Behar,1109822,Designer,Architecture and Design
Seyi Oyesola,230569,Doctor,Health and Medicine
Paul Collier,990220,Economist,Business and Economics
Rokia Traore,82488,Singer-songwriter,Creative Writing and Digital Content
Wade Davis,984223,"Anthropologist, ethnobotanist",Anthropology and Sociology
Murray Gell-Mann,785293,Physicist,Physical and Earth Sciences
Chris Jordan,1520108,Artist,Arts and Entertainment
Dean Ornish,1384333,"Physician, author",Education and Academia
Robert Full,799797,Biologist,Physical and Earth Sciences
Steven Levitt,749952,Economist,Business and Economics
Nicholas Negroponte,398643,Tech visionary,Technology Visionaries and Innovators
Nellie McKay,680591,Singer/songwriter,Creative Writing and Digital Content
Sxip Shirey + Rachelle Garniez,217663,Musician,Arts and Entertainment
Peter Diamandis,497899,Space activist,Social Activism and Human Rights
Corneille Ewango,368974,Botanist and activist,Social Activism and Human Rights
Torsten Reil,325148,Animating neurobiologist,Physical and Earth Sciences
David Hoffman,920941,Filmmaker,Arts and Entertainment
Clay Shirky,1097533,Social Media Theorist,Media and Journalism
Nellie McKay,1013879,Singer/songwriter,Creative Writing and Digital Content
