main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Ken Robinson,47227110,Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924
Al Gore,3200520,Averting the climate crisis,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",544,58,56,139,113,62,443,132,258,268,116,203,131,413
David Pogue,1636292,Simplicity sells,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",964,60,183,45,78,27,395,166,104,230,54,146,142,230
Majora Carter,1697550,Greening the ghetto,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",59,291,105,760,53,32,380,132,36,460,230,85,35,1070
Hans Rosling,12005869,The best stats you've ever seen,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",1390,942,3202,318,110,72,5433,4606,67,2542,3736,248,61,2893
Tony Robbins,20685401,Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",1102,706,397,721,285,301,1038,1350,377,2423,669,441,335,5211
Julia Sweeney,3769987,Letting go of God,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",2484,277,320,477,193,72,226,316,225,311,61,308,290,438
Joshua Prince-Ramus,967741,Behind the design of Seattle's library,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",9,98,195,34,26,25,121,153,26,37,57,63,5,175
Dan Dennett,2567958,Let's teach religion -- all religion -- in schools,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",60,145,211,562,177,70,623,313,283,764,60,154,83,441
Rick Warren,3095993,A life of purpose,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",26,767,116,476,306,111,304,459,838,1543,209,245,371,2556
Cameron Sinclair,1211416,My wish: A call for open-source architecture,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
",18,51,258,169,34,14,187,148,21,160,66,39,7,608
Jehane Noujaim,387877,My wish: A global day of film,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
",5,70,20,96,16,7,33,41,14,42,20,26,1,201
Larry Brilliant,693341,My wish: Help me stop pandemics,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
",3,16,57,86,9,2,188,83,5,111,70,11,5,240
Jeff Han,4531020,The radical promise of the multi-touch interface,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
",104,277,1014,34,55,19,461,919,32,77,4643,188,23,471
Nicholas Negroponte,358304,One Laptop per Child,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
",14,32,89,83,20,6,104,67,31,49,29,30,11,216
Sirena Huang,2702470,An 11-year-old's magical violin,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
",190,1671,190,143,29,10,22,635,15,41,2280,95,39,879
Jennifer Lin,1628912,"Improvising on piano, aged 14","https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
",24,1107,197,85,35,22,32,454,53,22,1997,68,31,552
Amy Smith,1415724,Simple designs to save a life,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
",21,67,321,150,19,7,279,159,13,140,63,30,4,515
Ross Lovegrove,1074081,"Organic design, inspired by nature","https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
",49,259,185,79,119,80,71,220,113,22,93,68,210,363
Jimmy Wales,1106561,The birth of Wikipedia,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
",19,104,170,63,46,13,478,181,14,73,54,68,11,277
Richard Baraniuk,966439,The birth of the open-source learning revolution,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
",12,22,117,52,30,8,320,111,26,120,26,69,6,258
Ze Frank,6141440,Nerdcore comedy,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
",2799,74,387,75,266,203,61,177,137,20,80,450,239,196
Mena Trott,518624,Meet the founder of the blog revolution,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
",106,54,9,33,119,40,82,34,67,23,3,87,41,86
Helen Fisher,9260764,"Why we love, why we cheat","https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
",780,864,345,177,245,115,2591,2106,249,1513,207,394,111,1083
Eve Ensler,1131864,Happiness in body and soul,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
",109,342,44,654,31,13,154,144,27,97,97,26,43,789
David Deutsch,1096862,Chemical scum that dream of distant quasars,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
",131,91,269,92,45,42,446,515,49,1234,139,73,21,397
Richard Dawkins,2885999,Why the universe seems so strange,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
",127,333,417,112,91,42,653,1281,41,367,324,93,39,674
Steven Levitt,2863214,The freakonomics of crack dealing,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
",485,12,175,93,35,7,532,404,19,109,61,44,17,43
Malcolm Gladwell,7023562,"Choice, happiness and spaghetti sauce","https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
",1668,333,1127,87,190,80,2004,2082,115,1014,290,361,51,1276
Dan Gilbert,14689301,The surprising science of happiness,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
",1728,444,1166,248,169,241,3899,4303,174,2355,1047,439,67,3554
Barry Schwartz,10000702,The paradox of choice,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
",1526,277,1201,400,178,54,2532,2491,324,2478,521,421,115,2427
Eva Vertes,1030267,Meet the future of cancer research,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
",13,68,279,171,84,30,277,356,38,93,152,75,58,377
Aubrey de Grey,3277740,A roadmap to end aging,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
",215,65,297,350,215,206,536,812,309,1359,337,145,120,518
Iqbal Quadir,503517,How mobile phones can fight poverty,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
",1,6,112,55,16,11,153,61,8,66,18,32,3,164
Jacqueline Novogratz,705389,Invest in Africa's own solutions,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty
",5,60,30,53,5,4,138,62,16,92,6,21,3,260
Sasa Vucinic,580891,Why we should invest in a free press,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press
",1,11,42,53,31,11,101,27,4,51,3,25,4,71
Ashraf Ghani,809226,How to rebuild a broken state,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states
",9,48,31,139,21,25,218,44,35,112,35,51,11,113
Burt Rutan,2028451,The real future of space exploration,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
",63,30,86,168,70,23,336,247,77,198,63,115,47,498
Ben Saunders,745231,Why did I ski to the North Pole?,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole
",80,44,7,274,10,1,44,124,18,22,74,20,7,288
Bono,718649,My wish: Three actions for Africa,"https://www.ted.com/talks/bono_s_call_to_action_for_africa
",26,68,22,104,41,12,80,51,30,145,39,24,33,294
Edward Burtynsky,975107,My wish: Manufactured landscapes and green education,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes
",8,106,20,52,58,11,184,149,10,64,95,27,10,158
Robert Fischell,382996,My wish: Three unusual medical inventions,"https://www.ted.com/talks/robert_fischell_on_medical_inventing
",1,6,126,11,18,4,115,74,20,27,18,23,8,48
Peter Donnelly,1053758,How juries are fooled by statistics,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries
",103,13,106,15,98,67,844,357,2,364,73,75,11,87
Michael Shermer,5364639,Why people believe weird things,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things
",2751,136,509,109,37,51,1344,799,151,1958,133,237,157,373
Ray Kurzweil,2434344,The accelerating power of technology,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
",18,55,207,61,150,91,806,691,111,237,309,141,27,388
Kevin Kelly,1536873,How technology evolves,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves
",11,52,192,34,147,87,269,311,136,1084,49,111,24,279
Peter Gabriel,904215,Fight injustice with raw video,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video
",5,23,36,180,25,8,145,27,14,92,33,36,3,222
Richard St. John,10841210,8 secrets of success,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
",2966,576,638,457,27,43,1912,777,213,1433,251,685,57,4978
Rives,1813665,If I controlled the Internet,"https://www.ted.com/talks/rives_controls_the_internet
",949,408,377,44,41,45,21,186,56,25,94,135,73,195
Dean Ornish,2299265,The killer American diet that's sweeping the planet,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
",54,8,31,31,8,28,749,85,61,331,62,133,14,151
Robert Neuwirth,673036,The hidden world of shadow cities,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
",3,18,21,45,70,36,265,130,97,73,32,62,47,105
Bjorn Lomborg,1391142,Global priorities bigger than climate change,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
",16,16,139,283,79,63,549,169,537,1668,67,111,212,280
Wade Davis,2532851,Dreams from endangered cultures,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
",68,563,136,192,55,24,698,928,54,426,380,75,46,970
Phil Borges,882034,Photos of endangered cultures,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
",5,126,16,61,30,14,116,88,25,33,17,24,7,157
Martin Rees,2121177,Is this our final century?,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
",47,214,132,63,109,27,607,737,60,188,117,175,21,460
Robert Wright,1090180,Progress is not a zero-sum game,"https://www.ted.com/talks/robert_wright_on_optimism
",342,30,121,140,102,55,251,167,107,288,23,129,40,343
Steven Johnson,684519,"How the ""ghost map"" helped end a killer disease","https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
",20,13,26,10,9,5,384,201,5,72,11,66,2,94
Charles Leadbeater,1409327,The era of open innovation,"https://www.ted.com/talks/charles_leadbeater_on_innovation
",11,32,116,29,37,10,355,200,16,249,36,67,3,408
Pilobolus,3051507,"A dance of ""Symbiosis""","https://www.ted.com/talks/pilobolus_perform_symbiosis
",21,1810,420,142,58,53,18,846,22,34,2011,81,22,525
Anna Deavere Smith,978825,Four American characters,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
",149,186,151,179,14,31,67,224,7,36,146,37,39,208
Saul Griffith,442553,Everyday inventions,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
",3,4,89,4,31,94,98,84,22,12,23,53,6,48
Neil Gershenfeld,691814,Unleash your creativity in a Fab Lab,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
",11,26,156,9,21,55,111,172,12,42,105,10,9,188
Carl Honoré,2441805,In praise of slowness,"https://www.ted.com/talks/carl_honore_praises_slowness
",199,313,93,159,73,30,411,242,53,575,35,141,21,1260
Bill Clinton,849859,My wish: Rebuilding Rwanda,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
",11,45,37,102,45,7,208,86,23,160,32,47,11,368
E.O. Wilson,1335732,My wish: Build the Encyclopedia of Life,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
",44,168,60,74,71,20,353,229,17,178,79,46,5,403
James Nachtwey,1262674,My wish: Let my photographs bear witness,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
",3,126,25,637,27,15,234,198,24,171,296,24,13,574
Jane Goodall,1663001,What separates us from chimpanzees?,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
",36,441,35,289,70,28,387,432,30,285,107,63,27,944
Seth Godin,5570544,How to get your ideas to spread,"https://www.ted.com/talks/seth_godin_on_sliced_bread
",785,95,444,91,46,23,997,571,59,811,100,158,34,1040
James Watson,1520908,How we discovered DNA,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
",306,101,106,39,54,34,360,298,184,29,54,66,47,230
Al Seckel,2138907,Visual illusions that show how we (mis)think,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
",319,109,221,2,123,80,173,367,102,32,93,284,35,62
Dean Kamen,680134,To invent is to give,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
",15,20,121,19,49,14,89,68,34,63,34,17,17,116
