continent,city,num_speakers,lat,lng
Africa,Accra,4,5.5571096,-0.2012376
Africa,Johannesburg,3,-26.205,28.049722
Africa,Nairobi,3,-1.30261485,36.82884201813725
Africa,Addis Ababa,2,9.0358287,38.7524127
Africa,Cape Town,2,-33.928992,18.417396
Americas,New York,100,40.7127281,-74.0060152
Americas,Los Angeles,28,34.0536909,-118.242766
Americas,Chicago,23,41.8755616,-87.6244212
Americas,Washington,19,38.8950368,-77.0365427
Americas,Boston,14,42.3554334,-71.060511
Asia,New Delhi,9,28.6138954,77.2090057
Asia,Bengaluru,5,12.9767936,77.590082
Asia,Mumbai,5,19.0785451,72.878176
Asia,Tel Aviv-Yafo,5,32.0852997,34.7818064
Asia,Dongcheng District,4,39.9057136,116.3912972
Europe,London,42,51.4893335,-0.1440550845276872
Europe,City of Westminster,16,51.5074456,-0.1277653
Europe,Paris,8,48.8588897,2.3200410217200766
Europe,Birmingham,6,52.4796992,-1.9026911
Europe,Cambridge,6,52.2055314,0.1186637
Oceania,Melbourne,7,-37.8142454,144.9631732
Oceania,Sydney,6,-33.8698439,151.2082848
Oceania,Dunedin,4,-45.8740984,170.5035755
Oceania,Adelaide,3,-34.9281805,138.5999312
Oceania,Canberra,2,-35.2975906,149.1012676
