continent,city,meanviews,lat,lng
Africa,Enugu,7308397,6.4499833,7.5000007
Africa,Pretoria,5589405,-25.7459277,28.1879101
Africa,Accra,4457871,5.5571096,-0.2012376
Africa,Bulawayo,4191678,-20.1053948,28.5426856
Africa,Johannesburg,3777325,-26.205,28.049722
Americas,New York,166514399,40.7127281,-74.0060152
Americas,Los Angeles,64590486,34.0536909,-118.242766
Americas,Washington,49856494,38.8950368,-77.0365427
Americas,San Francisco,49484015,37.7790262,-122.419906
Americas,Philadelphia,36304858,39.9439109,-75.18376416294248
Asia,Palanpur,16097077,24.1709794,72.4366375
Asia,Bangkok,13099076,13.7524938,100.4935089
Asia,New Delhi,12707323,28.6138954,77.2090057
Asia,Tehran,8535673,35.6892523,51.3896004
Asia,Tel Aviv-Yafo,8329049,32.0852997,34.7818064
Europe,London,74964844,51.4893335,-0.1440550845276872
Europe,Cambridge,26499955,52.2055314,0.1186637
Europe,Liverpool,24212327,53.4071991,-2.99168
Europe,City of Westminster,22669398,51.5074456,-0.1277653
Europe,Oxford,16171553,51.7520131,-1.2578499
Oceania,Melbourne,8761390,-37.8142454,144.9631732
Oceania,Sydney,7644285,-33.8698439,151.2082848
Oceania,Canberra,7170703,-35.2975906,149.1012676
Oceania,Dunedin,5699831,-45.8740984,170.5035755
Oceania,Townsville,2278271,-19.2569391,146.8239537
